0,1,2,3,4,5,6,7
"aeouiAEOUI
aeouiAEOUI",,,,,,,Other assets
Currency,Nominal/,"Average Acquisition price
Description",Actual Price,Perf YTD,Perf Total,Valuation in price currency,in %
,Quantity,Average Acquisition FX Rate,Actual Ex. Rate,,Perf Market,Thereof accruals,of assets
,,,Price Date,,Perf Currency,Countervalue USD,
,Hedge Funds & Private Equity,,,,,,
USD,204.071,"1'008.3748
EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 2019 1",128.0395,0.00%,-87.30%,26'129,0.13%
,,R,,,,,
,,ISIN: XD0466760473  //  Valorn.: 46676047,31.12.2023,,,,
,,Hedge Funds & Private Equity  //  PRC: 5.00,,,,,
,,Price to be verified,,,,,
